id;serial;serial_time;gtin;mfg_date;exp_date;usable;serial_machine;print_status;print_time;print_machine;verify_status;verify_time;verify_machine;verify_status_1;verify_status_1_time;verify_status_2;verify_status_2_time;verify_status_3;verify_status_3_time;verify_status_4;verify_status_4_time;verify_status_5;verify_status_5_time
39;18041899000038;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
40;18041895000039;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
41;18041892000040;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
42;18041898000041;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
43;18041898000042;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
44;18041896000043;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
45;18041898000044;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
46;18041897000045;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
47;18041898000046;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
48;18041892000047;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
49;18041898000048;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
50;18041893000049;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
51;18041899000050;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
52;18041894000051;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
53;18041898000052;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
54;18041896000053;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
55;18041895000054;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
56;18041894000055;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
57;18041892000056;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
58;18041893000057;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
59;18041894000058;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
60;18041895000059;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61;18041893000060;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62;18041894000061;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63;18041893000062;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
64;18041898000063;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
65;18041891000064;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
66;18041893000065;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
67;18041896000066;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
68;18041893000067;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
69;18041895000068;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
70;18041899000069;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71;18041895000070;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
72;18041896000071;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
73;18041899000072;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74;18041898000073;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
75;18041891000074;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
